Date,Open,High,Low,Close,Volume,Market Cap
8/7/15,2.83,3.54,2.52,2.77,164329,166610555
8/8/15,2.79,2.80,0.71,0.75,674188,45486894
8/9/15,0.71,0.88,0.63,0.70,532170,42399573
8/10/15,0.71,0.73,0.64,0.71,405283,42818364
8/11/15,0.71,1.13,0.66,1.07,1463100,64569288
8/12/15,1.06,1.29,0.88,1.22,2150620,73645011
8/13/15,1.22,1.97,1.17,1.83,4068680,110607192
8/14/15,1.81,2.26,1.75,1.83,4637030,110672322
8/15/15,1.80,1.88,1.57,1.69,2554360,102303608
8/16/15,1.68,1.70,1.09,1.57,3550790,94901005
8/17/15,1.58,1.58,1.19,1.20,1942830,87295367
8/18/15,1.22,1.33,1.09,1.09,1485680,78868413
8/19/15,1.17,1.32,1.17,1.26,1486240,91366391
8/20/15,1.25,1.53,1.25,1.46,2843760,106351420
8/21/15,1.48,1.56,1.35,1.40,2020970,101331856
8/22/15,1.40,1.48,1.35,1.38,948310,100201826
8/23/15,1.38,1.41,1.30,1.35,1589300,98300351
8/24/15,1.35,1.36,1.23,1.23,924920,89515257
8/25/15,1.23,1.24,1.13,1.14,1307180,82922633
8/26/15,1.13,1.20,1.06,1.16,1056750,84390924
8/27/15,1.17,1.19,1.14,1.15,686662,83524585
8/28/15,1.15,1.21,1.12,1.19,721872,86731077
8/29/15,1.19,1.21,1.15,1.18,375377,86113895
8/30/15,1.18,1.37,1.17,1.32,1337650,96097349
8/31/15,1.32,1.40,1.20,1.36,1447180,98963975
9/1/15,1.35,1.39,1.34,1.35,778862,98507500
9/2/15,1.35,1.35,1.26,1.29,883769,94389544
9/3/15,1.30,1.31,1.21,1.26,702991,92234142
9/4/15,1.26,1.30,1.24,1.27,474391,92953701
9/5/15,1.28,1.34,1.27,1.34,448453,97683883
9/6/15,1.34,1.37,1.29,1.30,491968,94580164
9/7/15,1.30,1.31,1.24,1.25,489014,91020735
9/8/15,1.25,1.28,1.23,1.24,427892,90743242
9/9/15,1.24,1.26,1.20,1.21,366748,88150125
9/10/15,1.21,1.22,1.14,1.17,662782,85202732
9/11/15,1.16,1.17,0.94,0.98,1942600,71868265
9/12/15,0.99,1.11,0.97,1.04,772430,75971273
9/13/15,1.04,1.04,0.90,0.94,644138,68480587
9/14/15,0.94,0.95,0.87,0.88,741085,64084135
9/15/15,0.88,1.05,0.88,0.94,703390,69141409
9/16/15,0.94,0.95,0.90,0.91,615593,66437873
9/17/15,0.91,0.91,0.83,0.87,897940,64046216
9/18/15,0.87,0.89,0.83,0.85,484622,62561883
9/19/15,0.85,0.91,0.83,0.88,386988,64687992
9/20/15,0.88,0.95,0.87,0.94,508314,68822183
9/21/15,0.94,0.96,0.88,0.92,424039,67422915
9/22/15,0.92,0.92,0.87,0.90,487914,66180153
9/23/15,0.90,0.91,0.89,0.89,200541,65587499
9/24/15,0.90,0.91,0.79,0.81,842505,59749888
9/25/15,0.82,0.83,0.71,0.74,903457,54085581
9/26/15,0.74,0.79,0.71,0.79,369620,57759115
9/27/15,0.79,0.79,0.72,0.72,413801,52990396
9/28/15,0.72,0.73,0.56,0.58,1320890,42863006
9/29/15,0.58,0.68,0.56,0.66,913992,48633259
9/30/15,0.66,0.75,0.64,0.74,619926,54351468
10/1/15,0.73,0.73,0.66,0.69,596084,50805919
10/2/15,0.68,0.69,0.65,0.68,219318,49966502
10/3/15,0.68,0.71,0.68,0.69,163326,50616972
10/4/15,0.69,0.69,0.66,0.67,103497,49249083
10/5/15,0.67,0.67,0.62,0.63,234263,46336892
10/6/15,0.62,0.65,0.61,0.65,262674,47974298
10/7/15,0.65,0.66,0.60,0.61,218327,44947527
10/8/15,0.61,0.63,0.59,0.62,310266,45872837
10/9/15,0.66,0.69,0.63,0.65,386420,48022036
10/10/15,0.64,0.65,0.62,0.63,141555,46356711
10/11/15,0.63,0.64,0.62,0.63,102128,46897253
10/12/15,0.63,0.66,0.63,0.63,109567,46253823
10/13/15,0.63,0.63,0.60,0.61,303044,44911718
10/14/15,0.61,0.61,0.48,0.52,971664,38665409
10/15/15,0.52,0.57,0.51,0.56,371022,41556025
10/16/15,0.56,0.57,0.52,0.54,249891,39691829
10/17/15,0.53,0.56,0.53,0.55,313860,40496031
10/18/15,0.55,0.55,0.51,0.52,133690,38329702
10/19/15,0.52,0.52,0.48,0.49,243742,36215624
10/20/15,0.49,0.50,0.43,0.43,383921,32213626
10/21/15,0.43,0.48,0.42,0.45,609085,33150826
10/22/15,0.44,0.62,0.42,0.57,924822,42085192
10/23/15,0.57,0.61,0.50,0.54,878822,40020348
10/24/15,0.54,0.58,0.52,0.56,258356,41809764
10/25/15,0.56,0.69,0.56,0.62,635384,45716387
10/26/15,0.62,0.76,0.60,0.73,1089120,54289124
10/27/15,0.71,0.90,0.71,0.87,1846370,64580263
10/28/15,0.87,1.06,0.81,1.00,2373050,74469864
10/29/15,1.01,1.21,0.95,1.21,2279240,89668667
10/30/15,1.21,1.35,0.97,1.04,2429200,77401817
10/31/15,1.05,1.06,0.90,0.92,673892,68163368
11/1/15,0.92,1.08,0.90,1.06,588913,78530263
11/2/15,1.06,1.10,0.95,0.99,1145200,73654327
11/3/15,0.99,1.07,0.94,1.01,1907690,75434114
11/4/15,1.01,1.04,0.73,0.90,3060340,66947930
11/5/15,0.90,0.99,0.86,0.90,1179840,66716645
11/6/15,0.90,0.99,0.85,0.93,913666,69004595
11/7/15,0.92,0.94,0.86,0.93,890187,69172171
11/8/15,0.92,1.03,0.92,1.03,1021460,76614488
11/9/15,1.03,1.11,0.95,1.00,2045290,74537426
11/10/15,1.00,1.05,0.92,0.93,854581,69717801
11/11/15,0.94,0.95,0.73,0.79,1278580,59103443
11/12/15,0.80,0.91,0.76,0.90,806156,66880152
11/13/15,0.91,0.92,0.85,0.90,543671,67529354
11/14/15,0.91,0.91,0.88,0.89,372514,66410518
11/15/15,0.89,0.92,0.87,0.91,411848,67745801
11/16/15,0.91,0.94,0.89,0.93,620945,69458011
11/17/15,0.92,1.03,0.91,1.01,1145440,75392162
11/18/15,0.99,1.01,0.94,0.99,681104,74320769
11/19/15,0.99,1.01,0.94,0.96,443528,71517342
11/20/15,0.96,0.96,0.90,0.92,614335,69247998
11/21/15,0.93,0.98,0.92,0.98,455976,73107357
11/22/15,0.98,0.98,0.96,0.97,372173,72523507
11/23/15,0.97,0.97,0.93,0.95,441875,70970606
11/24/15,0.95,0.95,0.90,0.90,524195,67487356
11/25/15,0.89,0.90,0.85,0.86,622991,64760707
11/26/15,0.86,0.90,0.80,0.88,947473,66330892
11/27/15,0.88,0.90,0.86,0.87,403813,65135635
11/28/15,0.87,0.93,0.86,0.92,462464,68742122
